name_en,name_jp
aged art,古美術
aged band,老人バンド
aged bar,熟成バー
aged base,老人基地
aged bird,年配の鳥
aged block,老人ブロック
aged boat,熟成ボート
aged bonus,高齢者ボーナス
aged bread,熟成パン
aged breeze,老風
aged brook,老いた小川
aged bush,熟成ブッシュ
aged butterfly,熟した蝶
aged cake,熟成ケーキ
aged cell,経年セル
aged cherry,さくらんぼ
aged cloud,高齢者の雲
aged credit,高齢者クレジット
aged darkness,老いた闇
aged dawn,老人の夜明け
aged dew,熟成露
aged disk,エイジディスク
aged dream,高齢者の夢
aged dust,老いたほこり
aged feather,年配の羽
aged field,老人
aged fire,老火
aged firefly,年配のホタル
aged flower,熟した花
aged fog,老齢の霧
aged forest,古林
aged frog,カエル
aged frost,老いた霜
aged glade,老人の空き地
aged glitter,老人のきらめき
aged grass,芝生
aged hall,老人ホール
aged hat,高齢者の帽子
aged haze,年配のもや
aged heart,高齢者の心
aged hill,老人の丘
aged king,年老いた王
aged lab,老人ラボ
aged lake,老湖
aged leaf,老葉
aged limit,年齢制限
aged math,高齢者の数学
aged meadow,老牧草地
aged mode,老人モード
aged moon,老月
aged morning,おはようございます
aged mountain,老山
aged mouse,老齢マウス
aged mud,老泥
aged night,老夜
aged paper,古紙
aged pine,老松
aged poetry,年老いた詩
aged pond,老池
aged queen,年配の女王
aged rain,年配の雨
aged recipe,熟成レシピ
aged resonance,経年共鳴
aged rice,お米
aged river,老川
aged salad,熟成サラダ
aged scene,老人
aged sea,老いた海
aged shadow,高齢者の影
aged shape,老人
aged silence,老人の沈黙
aged sky,歳の空
aged smoke,高齢者の煙
aged snow,老雪
aged snowflake,スノーフレーク
aged sound,老いた音
aged star,老スター
aged sun,老いた太陽
aged sun,老いた太陽
aged sunset,年配の夕日
aged surf,熟成サーフ
aged term,高齢者
aged thunder,年配の雷
aged tooth,老いた歯
aged tree,老木
aged truth,年老いた真実
aged union,高齢組合
aged unit,老人ユニット
aged violet,エイジドバイオレット
aged voice,高齢者の声
aged water,老齢の水
aged waterfall,年配の滝
aged wave,高齢者の波
aged wildflower,熟した野草
aged wind,古風
aged wood,老木
ancient art,古美術
ancient band,古代のバンド
ancient bar,古代のバー
ancient base,古代の基地
ancient bird,古代の鳥
ancient block,古代のブロック
ancient bonus,古代のボーナス
ancient bread,古代のパン
ancient boat,古代の船
ancient bush,古代ブッシュ
ancient cake,古代のケーキ
ancient cell,古代の細胞
ancient cherry,古代の桜
ancient cloud,古代の雲
ancient credit,古代の信用
ancient darkness,古代の闇
ancient dawn,古代の夜明け
ancient dew,古代の露
ancient disk,古代の円盤
ancient dream,古代の夢
ancient dust,古代のほこり
ancient feather,古代の羽
ancient field,古野
ancient fire,古代の火
ancient firefly,古代のホタル
ancient flower,古代の花
ancient fog,古代の霧
ancient forest,古代の森
ancient frog,古代のカエル
ancient frost,古代の霜
ancient glade,古代の空き地
ancient glitter,古代の輝き
ancient grass,古草
ancient hat,古代の帽子
ancient hall,古堂
ancient haze,古代のもや
ancient heart,古代の心
ancient hill,古代の丘
ancient king,古代の王
ancient lab,古代の研究室
ancient lake,古代の湖
ancient leaf,古代の葉
ancient limit,古代の限界
ancient math,古代の数学
ancient meadow,古代の牧草地
ancient mode,古代のモード
ancient moon,古代の月
ancient morning,古代の朝
ancient mountain,古代の山
ancient mouse,古代のマウス
ancient mud,古代の泥
ancient night,古夜
ancient paper,古紙
ancient pine,古代の松
ancient poetry,古代の詩
ancient pond,古代の池
ancient queen,古代の女王
ancient rain,古代の雨
ancient recipe,古レシピ
ancient resonance,古代の共鳴
ancient rice,古米
ancient river,古代の川
ancient salad,古代のサラダ
ancient scene,古代の風景
ancient sea,古代の海
ancient shadow,古代の影
ancient shape,古代の形
ancient silence,古代の沈黙
ancient sky,古代の空
ancient smoke,古代の煙
ancient snow,古代の雪
ancient snowflake,古代のスノーフレーク
ancient sound,古代の音
ancient star,古代の星
ancient sun,古代の太陽
ancient sun,古代の太陽
ancient sunset,古代の夕日
ancient surf,古代の波
ancient term,古語
ancient thunder,古代の雷
ancient tooth,古歯
ancient tree,古木
ancient truth,古代の真実
ancient union,古代の組合
ancient unit,古ユニット
ancient violet,古代の紫
ancient voice,古代の声
ancient water,古代の水
ancient waterfall,古代の滝
ancient wave,古代の波
ancient wildflower,古代のワイルドフラワー
ancient wind,古風
ancient wood,古代の木
ancient butterfly,古代の蝶
ancient brook,古代の小川
ancient breeze,古代の風
autumn art,秋のアート
autumn band,秋のバンド
autumn base,秋の拠点
autumn bird,秋の鳥
autumn block,秋のブロック
autumn boat,秋の船
autumn bonus,秋のボーナス
autumn bread,秋のパン
autumn breeze,秋の風
autumn brook,秋の小川
autumn bush,秋のブッシュ
autumn butterfly,秋の蝶
autumn cake,秋のケーキ
autumn cell,秋のセル
autumn cherry,秋桜
autumn cloud,秋の雲
autumn credit,秋のクレジット
autumn darkness,秋の闇
autumn dawn,秋の夜明け
autumn dew,秋の露
autumn disk,秋のディスク
autumn dream,秋の夢
autumn dust,秋のほこり
autumn feather,秋の羽
autumn field,秋の畑
autumn fire,秋の火
autumn firefly,秋のホタル
autumn flower,秋の花
autumn fog,秋の霧
autumn forest,秋の森
autumn frog,秋のカエル
autumn frost,秋の霜
autumn glade,秋の空き地
autumn glitter,秋の輝き
autumn grass,秋の芝生
autumn hall,秋の館
autumn hat,秋の帽子
autumn haze,秋のもや
autumn heart,秋の心
autumn king,秋の王
autumn lab,秋の研究室
autumn leaf,秋の葉
autumn limit,秋の限界
autumn math,秋の数学
autumn meadow,秋の牧草地
autumn mode,秋モード
autumn moon,秋の月
autumn morning,秋の朝
autumn mountain,秋の山
autumn mouse,秋のねずみ
autumn bar,秋のバー
autumn night,秋の夜
autumn paper,秋の紙
autumn pine,秋の松
autumn lake,秋の湖
autumn poetry,秋の詩
autumn pond,秋の池
autumn queen,秋の女王
autumn rain,秋の雨
autumn recipe,秋のレシピ
autumn resonance,秋の共鳴
autumn rice,秋ごはん
autumn river,秋の川
autumn salad,秋のサラダ
autumn scene,秋の風景
autumn sea,秋の海
autumn shadow,秋の影
autumn shape,秋の形
autumn silence,秋の沈黙
autumn sky,秋の空
autumn smoke,秋の煙
autumn snow,秋の雪
autumn snowflake,秋のスノーフレーク
autumn sound,秋の音
autumn star,秋の星
autumn sun,秋の太陽
autumn sun,秋の太陽
autumn sunset,秋の夕日
autumn surf,秋の波
autumn term,秋学期
autumn thunder,秋の雷
autumn tooth,秋の歯
autumn tree,秋の木
autumn truth,秋の真実
autumn union,秋の組合
autumn unit,秋のユニット
autumn violet,秋の紫
autumn voice,秋の声
autumn water,秋の水
autumn waterfall,秋の滝
autumn wildflower,秋の野草
autumn wind,秋の風
autumn wood,秋の木
autumn mud,秋の泥
autumn wave,秋の波
autumn hill,秋の丘
billowing art,ビルディングアート
billowing band,ビルバンド
billowing bar,ビリングバー
billowing base,請求ベース
billowing bird,うずくまる鳥
billowing block,請求ブロック
billowing boat,船首ボート
billowing bonus,請求ボーナス
billowing bread,Billowingパン
billowing breeze,うなり声
billowing brook,ビルイングブルック
billowing bush,ビリングブッシュ
billowing butterfly,げっぷ蝶
billowing cake,ビリングケーキ
billowing cell,請求セル
billowing cherry,さくらんぼ
billowing cloud,ビルクラウド
billowing credit,請求クレジット
billowing darkness,渦巻く闇
billowing dawn,ビルイング夜明け
billowing dew,Billowing露
billowing disk,請求ディスク
